start_date,end_date,country_name,iso,location,dis_type,dis_subtype,total_deaths,total_affected,total_dam,insured_losses,disaster_no,associated_dis,associated_dis2
/06/2007,/07/2007,Bulgaria,BGR,"Blagoevgrad, Burgas, Dobrich, Gabrovo, Haskovo, Jambol, Kardzhali, Kustendil, Lovech, Montana, Pazardzhik, Pernik, Pleven, Plovdiv, Razgrad, Ruse, Shumen, Silistra, Sliven, Smoljan, Sofia, Sofia-city, Stara Zagora, Targovishte, Varna, Veliko Tarnovo, Vidin, Vratca provinces",Extreme temperature ,Heat wave,2,50,0,0,2007-0235,Wildfire,Drought
/01/2008,/01/2008,Bulgaria,BGR,"Sopot area (Karlovo district, Plovdiv province), Samokov, Pirdop districts (Sofia province), Haskovo, Kardzkali, Sliven, Veliko Tarnovo, Jambol provinces

",Extreme temperature ,Cold wave,10,0,0,0,2008-0007,Snow/ice,Rain
/01/2010,/01/2010,Bulgaria,BGR,"Sofia, Sofia-city, Shumen provinces, Valtchi Dol district (Varna province), Glavinitca district (Silistra province), Tran district (Pernik province), Knezha district (Vratca province), Sevlievo district (Gabrovo province)",Extreme temperature ,Cold wave,3,0,0,0,2010-0050,--,--
/01/2012,/02/2012,Bulgaria,BGR,"Chirpan district (Stara Zagora province), Sevlievo district (Gabrovo province), Varna district (Varna province)",Extreme temperature ,Cold wave,30,0,0,0,2012-0019,--,--
01/12/2012,15/12/2012,Bulgaria,BGR,"Blagoevgrad, Burgas, Dobrich, Gabrovo, Haskovo, Jambol, Kardzhali, Kustendil, Lovech, Montana, Pazardzhik, Pernik, Pleven, Plovdiv, Razgrad, Ruse, Shumen, Silistra, Sliven, Smoljan, Sofia, Sofia-city, Stara Zagora, Targovishte, Varna, Veliko Tarnovo, Vidin, Vratca, provinces",Extreme temperature ,Cold wave,3,0,0,0,2012-0485,--,--
06/07/1936,06/07/1936,Canada,CAN,Nationwide (except Yukon and Nothwest territories),Extreme temperature ,Heat wave,500,0,0,0,1936-0006,--,--
19/01/1982,19/01/1982,Canada,CAN," Labrador, Newfoundland",Extreme temperature ,Cold wave,0,200,0,0,1982-0247,--,--
/12/1992,/04/1993,Canada,CAN,Ontario,Extreme temperature ,Cold wave,0,0,2000000,0,1992-0504,--,--
21/12/2013,22/12/2013,Canada,CAN,"Ontario, Quebec provinces",Extreme temperature ,Severe winter conditions,10,0,0,0,2013-0528,--,--
01/01/2014,09/01/2014,Canada,CAN,"Ontario, Manitoba, Saskatchewan provinces",Extreme temperature ,Cold wave,0,0,0,0,2014-0009,--,--
26/07/2004,30/07/2004,Canary Is,SPI,Canarias province,Extreme temperature ,Heat wave,13,113,0,0,2004-0361,--,--
15/08/1995,15/08/1995,Chile,CHL,"Longuimay, Curarrehue, Pucon, Melipouco, Curacautin",Extreme temperature ,Cold wave,2,10000,10000,0,1995-0176,--,--
03/07/2000,03/07/2000,Chile,CHL,"Antofagasta, Araucania, Arica y Painacota, Atacama, Coquimbo, Los Lagos, Los Rios, Tarapaca provinces",Extreme temperature ,Cold wave,0,0,10000,0,2000-0423,--,--
/07/2002,/07/2002,Chile,CHL,"Aisen del Gral. Carlos Ibañez del Campo, Antofagasta, Araucania, Arica y Painacota, Atacama, Biobio, Coquimbo, Libertador Gral. Bernardo O'Higgins, Los Lagos, Los Rios, Magallanes y Antartica chilena, Maule, Metropolitana, Tarapaca, Valparaiso provinces",Extreme temperature ,Cold wave,0,25000,0,0,2002-0495,--,--
/07/2004,/07/2004,Chile,CHL,"Aisen del Gral. Carlos Ibañez del Campo, Antofagasta, Araucania, Arica y Painacota, Atacama, Biobio, Coquimbo, Libertador Gral. Bernardo O'Higgins, Los Lagos, Los Rios, Magallanes y Antartica chilena, Maule, Metropolitana, Tarapaca, Valparaiso provinces",Extreme temperature ,Cold wave,0,0,0,0,2004-0331,--,--
/07/2007,/07/2007,Chile,CHL,"Osorno district (Los Lagos province), Santiago district (Metropolitan province), Araucania province",Extreme temperature ,Severe winter conditions,6,0,0,0,2007-0263,--,--
/07/2010,/07/2010,Chile,CHL,Aisen del Gral. Carlos Ibañez del Campo province,Extreme temperature ,Cold wave,0,150,0,0,2010-0294,--,--
13/07/2011,02/11/2011,Chile,CHL,"Lonquimay villages (Malleco districts, Araucania province), Cunco, Curarrehue, Pucon, Villarrica, Vilcun villages (Cautin district, Araucania province), Biobio province",Extreme temperature ,Severe winter conditions,0,25475,0,0,2011-0316,--,--
13/07/2011,19/07/2011,Chile,CHL,"Lonquimay, Curacautín, Purén villages (Malleco district, Araucania province), Cunco, Pucón, Curarrehue, Melipeuco, Carahue, Vilcún, Villarrica villages (Cautin district, Araucania province), Alto Bio-bío village (Biobio district, Biobio province)",Extreme temperature ,Severe winter conditions,0,25475,0,0,2011-0661,--,--
10/09/2013,30/09/2013,Chile,CHL,"Biobio, Libertador Gral. Bernardo O'Higgins, Maule, Metropolitana, Valparaiso provinces",Extreme temperature ,Severe winter conditions,0,0,1000000,0,2013-0407,--,--
//1986,//1986,China,CHN,Northwest,Extreme temperature ,Cold wave,2,30000,0,0,1986-0015,--,--
/08/1994,/08/1994,China,CHN,Beijing,Extreme temperature ,Heat wave,104,0,0,0,1994-0616,--,--
/01/1997,/01/1997,China,CHN,Xinjiang Region,Extreme temperature ,Cold wave,24,100000,29000,0,1997-0003,--,--
09/07/1997,09/07/1997,China,CHN,Beijing,Extreme temperature ,Heat wave,16,180,0,0,1997-0343,--,--
/09/1997,/09/1997,China,CHN,"Tibet, Qinghai",Extreme temperature ,Cold wave,0,2000,0,0,1997-0355,--,--
/07/2002,/07/2002,China,CHN,"Chongqing Shi province, Shijiazhuang district (Hebei Sheng province)",Extreme temperature ,Heat wave,7,3500,0,0,2002-0531,--,--
